ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
93950,1,2023,Gas- Commercial,Y,0,0,
93950,2,2023,Gas- Commercial,Y,0,0,
93950,3,2023,Gas- Commercial,Y,0,0,
93953,1,2023,Gas- Commercial,Y,0,0,
93953,2,2023,Gas- Commercial,Y,0,0,
93953,3,2023,Gas- Commercial,Y,0,0,
93955,1,2023,Gas- Commercial,N,463,"186,397",403
93955,2,2023,Gas- Commercial,N,464,"199,862",431
93955,3,2023,Gas- Commercial,N,463,"190,457",411
93960,1,2023,Gas- Commercial,Y,0,0,
93960,2,2023,Gas- Commercial,Y,256,"115,958",453
93960,3,2023,Gas- Commercial,Y,255,"114,132",448
94002,1,2023,Gas- Commercial,Y,0,0,
94002,2,2023,Gas- Commercial,Y,0,0,
94002,3,2023,Gas- Commercial,Y,0,0,
94005,1,2023,Gas- Commercial,Y,0,0,
94005,2,2023,Gas- Commercial,Y,0,0,
94005,3,2023,Gas- Commercial,Y,0,0,
94010,1,2023,Gas- Commercial,N,819,"532,615",650
94010,2,2023,Gas- Commercial,N,817,"544,896",667
94010,3,2023,Gas- Commercial,Y,"1,048","675,176",644
94014,1,2023,Gas- Commercial,Y,550,"362,984",660
94014,2,2023,Gas- Commercial,Y,549,"372,593",679
94014,3,2023,Gas- Commercial,Y,548,"388,711",709
94015,1,2023,Gas- Commercial,N,275,"264,827",963
94015,2,2023,Gas- Commercial,N,275,"249,699",908
94015,3,2023,Gas- Commercial,N,275,"274,937","1,000"
94019,1,2023,Gas- Commercial,Y,0,0,
94019,2,2023,Gas- Commercial,Y,0,0,
94019,3,2023,Gas- Commercial,Y,0,0,
94022,1,2023,Gas- Commercial,Y,0,0,
94022,2,2023,Gas- Commercial,Y,0,0,
94022,3,2023,Gas- Commercial,Y,0,0,
94024,1,2023,Gas- Commercial,Y,0,0,
94024,2,2023,Gas- Commercial,Y,0,0,
94024,3,2023,Gas- Commercial,Y,0,0,
94025,1,2023,Gas- Commercial,Y,0,0,
94025,2,2023,Gas- Commercial,Y,0,0,
94025,3,2023,Gas- Commercial,Y,0,0,
94027,1,2023,Gas- Commercial,Y,0,0,
94027,2,2023,Gas- Commercial,Y,0,0,
94027,3,2023,Gas- Commercial,Y,0,0,
94028,1,2023,Gas- Commercial,Y,0,0,
94028,2,2023,Gas- Commercial,Y,0,0,
94028,3,2023,Gas- Commercial,Y,0,0,
94030,1,2023,Gas- Commercial,Y,274,"224,496",819
94030,2,2023,Gas- Commercial,Y,273,"227,891",835
94030,3,2023,Gas- Commercial,Y,274,"239,253",873
94038,1,2023,Gas- Commercial,Y,0,0,
94038,2,2023,Gas- Commercial,Y,0,0,
94038,3,2023,Gas- Commercial,Y,0,0,
94040,1,2023,Gas- Commercial,Y,0,0,
94040,2,2023,Gas- Commercial,Y,0,0,
94040,3,2023,Gas- Commercial,Y,0,0,
94041,1,2023,Gas- Commercial,Y,0,0,
94041,2,2023,Gas- Commercial,Y,0,0,
94041,3,2023,Gas- Commercial,Y,0,0,
94043,1,2023,Gas- Commercial,Y,"1,864","2,294,272","1,231"
94043,2,2023,Gas- Commercial,Y,"1,864","2,273,935","1,220"
94043,3,2023,Gas- Commercial,Y,"1,865","2,228,090","1,195"
94044,1,2023,Gas- Commercial,Y,314,"107,711",343
94044,2,2023,Gas- Commercial,Y,312,"108,173",347
94044,3,2023,Gas- Commercial,Y,311,"118,273",380
94061,1,2023,Gas- Commercial,Y,0,0,
94061,2,2023,Gas- Commercial,Y,0,0,
94061,3,2023,Gas- Commercial,Y,0,0,
94062,1,2023,Gas- Commercial,Y,222,"164,915",743
94062,2,2023,Gas- Commercial,Y,222,"160,504",723
94062,3,2023,Gas- Commercial,Y,224,"162,987",728
94063,1,2023,Gas- Commercial,Y,"1,975","1,698,331",860
94063,2,2023,Gas- Commercial,Y,"1,979","1,685,072",851
94063,3,2023,Gas- Commercial,Y,"1,986","1,696,991",854
94065,1,2023,Gas- Commercial,Y,0,0,
94065,2,2023,Gas- Commercial,Y,0,0,
94065,3,2023,Gas- Commercial,Y,0,0,
94066,1,2023,Gas- Commercial,N,410,"220,298",537
94066,2,2023,Gas- Commercial,N,410,"221,575",540
94066,3,2023,Gas- Commercial,N,411,"227,674",554
94070,1,2023,Gas- Commercial,Y,"1,357","509,992",376
94070,2,2023,Gas- Commercial,Y,"1,362","512,395",376
94070,3,2023,Gas- Commercial,Y,"3,065","2,233,513",729
94080,1,2023,Gas- Commercial,N,"1,031","1,422,222","1,379"
94080,2,2023,Gas- Commercial,N,"1,025","1,457,851","1,422"
94080,3,2023,Gas- Commercial,N,"1,022","1,511,640","1,479"
94085,1,2023,Gas- Commercial,Y,0,0,
94085,2,2023,Gas- Commercial,Y,0,0,
94085,3,2023,Gas- Commercial,Y,0,0,
94086,1,2023,Gas- Commercial,N,360,"315,592",877
94086,2,2023,Gas- Commercial,N,360,"307,023",853
94086,3,2023,Gas- Commercial,N,360,"313,361",870
94087,1,2023,Gas- Commercial,Y,0,0,
94087,2,2023,Gas- Commercial,Y,0,0,
94087,3,2023,Gas- Commercial,Y,0,0,
94089,1,2023,Gas- Commercial,Y,0,0,
94089,2,2023,Gas- Commercial,Y,0,0,
94089,3,2023,Gas- Commercial,Y,0,0,
94102,1,2023,Gas- Commercial,N,497,"469,686",945
94102,2,2023,Gas- Commercial,N,496,"448,391",904
94102,3,2023,Gas- Commercial,N,497,"494,093",994
94103,1,2023,Gas- Commercial,N,"1,124","663,129",590
94103,2,2023,Gas- Commercial,N,"1,123","626,951",558
94103,3,2023,Gas- Commercial,N,"1,124","669,997",596
94104,1,2023,Gas- Commercial,Y,0,0,
94104,2,2023,Gas- Commercial,Y,0,0,
94104,3,2023,Gas- Commercial,Y,0,0,
94105,1,2023,Gas- Commercial,N,187,"486,620","2,602"
94105,2,2023,Gas- Commercial,N,186,"468,776","2,520"
94105,3,2023,Gas- Commercial,N,185,"555,635","3,003"
94107,1,2023,Gas- Commercial,Y,818,"737,366",901
94107,2,2023,Gas- Commercial,Y,824,"734,092",891
94107,3,2023,Gas- Commercial,Y,825,"761,651",923
94108,1,2023,Gas- Commercial,N,467,"196,058",420
94108,2,2023,Gas- Commercial,N,467,"182,697",391
94108,3,2023,Gas- Commercial,N,465,"202,746",436
94109,1,2023,Gas- Commercial,N,680,"366,787",539
94109,2,2023,Gas- Commercial,N,680,"371,505",546
94109,3,2023,Gas- Commercial,N,683,"389,820",571
94110,1,2023,Gas- Commercial,N,"1,096","359,088",328
94110,2,2023,Gas- Commercial,N,"1,092","350,799",321
94110,3,2023,Gas- Commercial,N,"1,092","376,142",344
94111,1,2023,Gas- Commercial,Y,329,"592,547","1,801"
94111,2,2023,Gas- Commercial,Y,330,"567,089","1,718"
94111,3,2023,Gas- Commercial,Y,329,"623,850","1,896"
94112,1,2023,Gas- Commercial,Y,883,"363,530",412
94112,2,2023,Gas- Commercial,Y,878,"356,698",406
94112,3,2023,Gas- Commercial,Y,877,"382,449",436
94114,1,2023,Gas- Commercial,Y,935,"287,682",308
94114,2,2023,Gas- Commercial,Y,932,"283,788",304
94114,3,2023,Gas- Commercial,Y,934,"305,400",327
94115,1,2023,Gas- Commercial,N,475,"271,481",572
94115,2,2023,Gas- Commercial,N,476,"273,218",574
94115,3,2023,Gas- Commercial,N,473,"288,261",609
94116,1,2023,Gas- Commercial,Y,0,0,
94116,2,2023,Gas- Commercial,N,274,"103,441",378
94116,3,2023,Gas- Commercial,Y,0,0,
94117,1,2023,Gas- Commercial,Y,0,0,
94117,2,2023,Gas- Commercial,Y,0,0,
94117,3,2023,Gas- Commercial,Y,0,0,
94118,1,2023,Gas- Commercial,Y,625,"349,385",559
94118,2,2023,Gas- Commercial,Y,627,"348,199",555
94118,3,2023,Gas- Commercial,Y,626,"367,442",587
94121,1,2023,Gas- Commercial,Y,0,0,
94121,2,2023,Gas- Commercial,Y,0,0,
94121,3,2023,Gas- Commercial,Y,0,0,
94122,1,2023,Gas- Commercial,Y,"1,175","374,368",319
94122,2,2023,Gas- Commercial,Y,897,"262,726",293
94122,3,2023,Gas- Commercial,Y,"1,177","389,810",331
94123,1,2023,Gas- Commercial,N,479,"151,048",315
94123,2,2023,Gas- Commercial,N,479,"134,379",281
94123,3,2023,Gas- Commercial,N,478,"149,738",313
94124,1,2023,Gas- Commercial,N,678,"261,021",385
94124,2,2023,Gas- Commercial,N,679,"248,914",367
94124,3,2023,Gas- Commercial,N,677,"273,228",404
94127,1,2023,Gas- Commercial,Y,0,0,
94127,2,2023,Gas- Commercial,Y,0,0,
94127,3,2023,Gas- Commercial,Y,0,0,
94128,1,2023,Gas- Commercial,Y,0,0,
94128,2,2023,Gas- Commercial,Y,0,0,
94128,3,2023,Gas- Commercial,Y,0,0,
94129,1,2023,Gas- Commercial,Y,0,0,
94129,2,2023,Gas- Commercial,Y,0,0,
94129,3,2023,Gas- Commercial,Y,0,0,
94131,1,2023,Gas- Commercial,Y,0,0,
94131,2,2023,Gas- Commercial,Y,0,0,
94131,3,2023,Gas- Commercial,Y,0,0,
94132,1,2023,Gas- Commercial,N,158,"117,292",742
