ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93602,12,2023,Elec- Agricultural,Y,0,0,
93603,10,2023,Elec- Agricultural,Y,0,0,
93603,11,2023,Elec- Agricultural,Y,0,0,
93603,12,2023,Elec- Agricultural,Y,0,0,
93608,10,2023,Elec- Agricultural,Y,0,0,
93608,11,2023,Elec- Agricultural,Y,0,0,
93608,12,2023,Elec- Agricultural,Y,0,0,
93609,10,2023,Elec- Agricultural,Y,0,0,
93609,11,2023,Elec- Agricultural,Y,0,0,
93609,12,2023,Elec- Agricultural,Y,0,0,
93610,10,2023,Elec- Agricultural,N,463,"13,652,341","29,487"
93610,11,2023,Elec- Agricultural,Y,742,"11,981,100","16,147"
93610,12,2023,Elec- Agricultural,Y,740,"9,637,688","13,024"
93611,10,2023,Elec- Agricultural,Y,0,0,
93611,11,2023,Elec- Agricultural,Y,0,0,
93611,12,2023,Elec- Agricultural,Y,0,0,
93612,10,2023,Elec- Agricultural,Y,0,0,
93612,11,2023,Elec- Agricultural,Y,0,0,
93612,12,2023,Elec- Agricultural,Y,0,0,
93614,10,2023,Elec- Agricultural,Y,0,0,
93614,11,2023,Elec- Agricultural,Y,0,0,
93614,12,2023,Elec- Agricultural,Y,64,"24,069",376
93615,10,2023,Elec- Agricultural,Y,0,0,
93615,11,2023,Elec- Agricultural,Y,0,0,
93615,12,2023,Elec- Agricultural,Y,0,0,
93616,10,2023,Elec- Agricultural,Y,0,0,
93616,11,2023,Elec- Agricultural,Y,0,0,
93616,12,2023,Elec- Agricultural,Y,0,0,
93618,10,2023,Elec- Agricultural,Y,0,0,
93618,11,2023,Elec- Agricultural,Y,0,0,
93618,12,2023,Elec- Agricultural,Y,0,0,
93619,10,2023,Elec- Agricultural,Y,0,0,
93619,11,2023,Elec- Agricultural,Y,0,0,
93619,12,2023,Elec- Agricultural,Y,0,0,
93620,10,2023,Elec- Agricultural,Y,0,0,
93620,11,2023,Elec- Agricultural,Y,0,0,
93620,12,2023,Elec- Agricultural,Y,0,0,
93621,10,2023,Elec- Agricultural,Y,0,0,
93621,11,2023,Elec- Agricultural,Y,0,0,
93621,12,2023,Elec- Agricultural,Y,0,0,
93622,10,2023,Elec- Agricultural,Y,487,"7,464,401","15,327"
93622,11,2023,Elec- Agricultural,Y,618,"8,013,085","12,966"
93622,12,2023,Elec- Agricultural,Y,0,0,
93625,10,2023,Elec- Agricultural,Y,0,0,
93625,11,2023,Elec- Agricultural,Y,0,0,
93625,12,2023,Elec- Agricultural,Y,0,0,
93626,10,2023,Elec- Agricultural,Y,56,"27,003",482
93626,11,2023,Elec- Agricultural,Y,0,0,
93626,12,2023,Elec- Agricultural,Y,0,0,
93627,10,2023,Elec- Agricultural,Y,0,0,
93627,11,2023,Elec- Agricultural,Y,0,0,
93627,12,2023,Elec- Agricultural,Y,0,0,
93628,10,2023,Elec- Agricultural,Y,0,0,
93628,11,2023,Elec- Agricultural,Y,0,0,
93628,12,2023,Elec- Agricultural,Y,0,0,
93630,10,2023,Elec- Agricultural,Y,794,"9,372,473","11,804"
93630,11,2023,Elec- Agricultural,Y,0,0,
93630,12,2023,Elec- Agricultural,Y,0,0,
93631,10,2023,Elec- Agricultural,Y,899,"7,013,264","7,801"
93631,11,2023,Elec- Agricultural,Y,901,"5,182,187","5,752"
93631,12,2023,Elec- Agricultural,Y,"1,272","5,963,011","4,688"
93635,10,2023,Elec- Agricultural,Y,"1,086","23,862,886","21,973"
93635,11,2023,Elec- Agricultural,Y,"1,089","9,780,482","8,981"
93635,12,2023,Elec- Agricultural,Y,"1,489","20,040,806","13,459"
93636,10,2023,Elec- Agricultural,Y,0,0,
93636,11,2023,Elec- Agricultural,Y,0,0,
93636,12,2023,Elec- Agricultural,Y,0,0,
93637,10,2023,Elec- Agricultural,N,663,"16,275,482","24,548"
93637,11,2023,Elec- Agricultural,N,658,"9,824,258","14,930"
93637,12,2023,Elec- Agricultural,Y,"2,233","18,488,344","8,280"
93638,10,2023,Elec- Agricultural,N,313,"4,307,047","13,761"
93638,11,2023,Elec- Agricultural,Y,450,"2,408,260","5,352"
93638,12,2023,Elec- Agricultural,Y,0,0,
93640,10,2023,Elec- Agricultural,Y,220,"4,967,481","22,579"
93640,11,2023,Elec- Agricultural,Y,0,0,
93640,12,2023,Elec- Agricultural,Y,0,0,
93641,10,2023,Elec- Agricultural,Y,0,0,
93641,11,2023,Elec- Agricultural,Y,0,0,
93641,12,2023,Elec- Agricultural,Y,0,0,
93643,10,2023,Elec- Agricultural,Y,0,0,
93643,11,2023,Elec- Agricultural,Y,0,0,
93643,12,2023,Elec- Agricultural,Y,0,0,
93644,10,2023,Elec- Agricultural,Y,0,0,
93644,11,2023,Elec- Agricultural,Y,0,0,
93644,12,2023,Elec- Agricultural,Y,0,0,
93645,10,2023,Elec- Agricultural,Y,0,0,
93645,11,2023,Elec- Agricultural,Y,0,0,
93645,12,2023,Elec- Agricultural,Y,0,0,
93646,10,2023,Elec- Agricultural,Y,254,"1,503,589","5,920"
93646,11,2023,Elec- Agricultural,Y,0,0,
93646,12,2023,Elec- Agricultural,Y,0,0,
93647,10,2023,Elec- Agricultural,Y,615,"2,689,327","4,373"
93647,11,2023,Elec- Agricultural,Y,871,"3,625,460","4,162"
93647,12,2023,Elec- Agricultural,Y,0,0,
93648,10,2023,Elec- Agricultural,Y,0,0,
93648,11,2023,Elec- Agricultural,Y,0,0,
93648,12,2023,Elec- Agricultural,Y,0,0,
93650,10,2023,Elec- Agricultural,Y,0,0,
93650,11,2023,Elec- Agricultural,Y,0,0,
93650,12,2023,Elec- Agricultural,Y,0,0,
93651,10,2023,Elec- Agricultural,Y,0,0,
93651,11,2023,Elec- Agricultural,Y,0,0,
93651,12,2023,Elec- Agricultural,Y,0,0,
93652,10,2023,Elec- Agricultural,Y,0,0,
93652,11,2023,Elec- Agricultural,Y,0,0,
93652,12,2023,Elec- Agricultural,Y,0,0,
93653,10,2023,Elec- Agricultural,Y,0,0,
93653,11,2023,Elec- Agricultural,Y,0,0,
93653,12,2023,Elec- Agricultural,Y,0,0,
93654,10,2023,Elec- Agricultural,Y,866,"8,912,991","10,292"
93654,11,2023,Elec- Agricultural,Y,0,0,
93654,12,2023,Elec- Agricultural,Y,0,0,
93656,10,2023,Elec- Agricultural,Y,0,0,
93656,11,2023,Elec- Agricultural,Y,0,0,
93656,12,2023,Elec- Agricultural,Y,0,0,
93657,10,2023,Elec- Agricultural,Y,722,"3,320,351","4,599"
93657,11,2023,Elec- Agricultural,Y,"1,357","7,905,336","5,826"
93657,12,2023,Elec- Agricultural,Y,"2,223","9,217,828","4,147"
93660,10,2023,Elec- Agricultural,Y,0,0,
93660,11,2023,Elec- Agricultural,Y,0,0,
93660,12,2023,Elec- Agricultural,Y,0,0,
93662,10,2023,Elec- Agricultural,Y,"1,001","7,330,864","7,324"
93662,11,2023,Elec- Agricultural,Y,"1,769","10,033,654","5,672"
93662,12,2023,Elec- Agricultural,Y,"3,451","15,855,522","4,594"
93667,10,2023,Elec- Agricultural,Y,0,0,
93667,11,2023,Elec- Agricultural,Y,0,0,
93667,12,2023,Elec- Agricultural,Y,0,0,
93668,10,2023,Elec- Agricultural,Y,0,0,
93668,11,2023,Elec- Agricultural,Y,0,0,
93668,12,2023,Elec- Agricultural,Y,0,0,
93675,10,2023,Elec- Agricultural,Y,0,0,
93675,11,2023,Elec- Agricultural,Y,0,0,
93675,12,2023,Elec- Agricultural,Y,0,0,
93701,10,2023,Elec- Agricultural,Y,0,0,
93701,11,2023,Elec- Agricultural,Y,0,0,
93701,12,2023,Elec- Agricultural,Y,0,0,
93702,10,2023,Elec- Agricultural,Y,0,0,
93702,11,2023,Elec- Agricultural,Y,0,0,
93702,12,2023,Elec- Agricultural,Y,0,0,
93703,10,2023,Elec- Agricultural,Y,0,0,
93703,11,2023,Elec- Agricultural,Y,0,0,
93703,12,2023,Elec- Agricultural,Y,0,0,
93704,10,2023,Elec- Agricultural,Y,0,0,
93704,11,2023,Elec- Agricultural,Y,0,0,
93704,12,2023,Elec- Agricultural,Y,0,0,
93705,10,2023,Elec- Agricultural,Y,0,0,
93705,11,2023,Elec- Agricultural,Y,0,0,
93705,12,2023,Elec- Agricultural,Y,0,0,
93706,10,2023,Elec- Agricultural,Y,"2,659","24,193,158","9,099"
93706,11,2023,Elec- Agricultural,Y,"2,629","17,221,191","6,550"
93706,12,2023,Elec- Agricultural,Y,0,0,
93710,10,2023,Elec- Agricultural,Y,0,0,
93710,11,2023,Elec- Agricultural,Y,0,0,
93710,12,2023,Elec- Agricultural,Y,0,0,
93711,10,2023,Elec- Agricultural,Y,0,0,
93711,11,2023,Elec- Agricultural,Y,0,0,
93711,12,2023,Elec- Agricultural,Y,0,0,
93720,10,2023,Elec- Agricultural,Y,0,0,
93720,11,2023,Elec- Agricultural,Y,0,0,
93720,12,2023,Elec- Agricultural,Y,0,0,
93721,10,2023,Elec- Agricultural,Y,0,0,
93721,11,2023,Elec- Agricultural,Y,0,0,
93721,12,2023,Elec- Agricultural,Y,0,0,
93722,10,2023,Elec- Agricultural,Y,0,0,
93722,11,2023,Elec- Agricultural,Y,0,0,
93722,12,2023,Elec- Agricultural,Y,0,0,
93723,10,2023,Elec- Agricultural,Y,0,0,
93723,11,2023,Elec- Agricultural,Y,0,0,
93723,12,2023,Elec- Agricultural,Y,0,0,
93725,10,2023,Elec- Agricultural,Y,0,0,
93725,11,2023,Elec- Agricultural,Y,0,0,
93725,12,2023,Elec- Agricultural,Y,0,0,
93726,10,2023,Elec- Agricultural,Y,0,0,
93726,11,2023,Elec- Agricultural,Y,0,0,
93726,12,2023,Elec- Agricultural,Y,0,0,
93727,10,2023,Elec- Agricultural,Y,0,0,
93727,11,2023,Elec- Agricultural,Y,0,0,
93727,12,2023,Elec- Agricultural,Y,0,0,
93728,10,2023,Elec- Agricultural,Y,0,0,
93728,11,2023,Elec- Agricultural,Y,0,0,
93728,12,2023,Elec- Agricultural,Y,0,0,
93730,10,2023,Elec- Agricultural,Y,0,0,
93730,11,2023,Elec- Agricultural,Y,0,0,
93730,12,2023,Elec- Agricultural,Y,0,0,
93737,10,2023,Elec- Agricultural,Y,0,0,
93737,11,2023,Elec- Agricultural,Y,0,0,
93737,12,2023,Elec- Agricultural,Y,0,0,
93740,10,2023,Elec- Agricultural,Y,0,0,
93740,11,2023,Elec- Agricultural,Y,0,0,
93740,12,2023,Elec- Agricultural,Y,0,0,
93741,10,2023,Elec- Agricultural,Y,0,0,
93741,11,2023,Elec- Agricultural,Y,0,0,
93741,12,2023,Elec- Agricultural,Y,0,0,
93901,10,2023,Elec- Agricultural,Y,229,"12,642,556","55,208"
93901,11,2023,Elec- Agricultural,Y,0,0,
93901,12,2023,Elec- Agricultural,Y,0,0,
93905,10,2023,Elec- Agricultural,Y,0,0,
93905,11,2023,Elec- Agricultural,Y,0,0,
93905,12,2023,Elec- Agricultural,Y,0,0,
93906,10,2023,Elec- Agricultural,Y,0,0,
93906,11,2023,Elec- Agricultural,Y,0,0,
93906,12,2023,Elec- Agricultural,Y,0,0,
93907,10,2023,Elec- Agricultural,Y,0,0,
93907,11,2023,Elec- Agricultural,Y,0,0,
93907,12,2023,Elec- Agricultural,Y,0,0,
93908,10,2023,Elec- Agricultural,Y,0,0,
93908,11,2023,Elec- Agricultural,Y,514,"20,459,390","39,804"
93908,12,2023,Elec- Agricultural,Y,0,0,
93920,10,2023,Elec- Agricultural,Y,0,0,
93920,11,2023,Elec- Agricultural,Y,0,0,
93920,12,2023,Elec- Agricultural,Y,0,0,
93923,10,2023,Elec- Agricultural,Y,0,0,
93923,11,2023,Elec- Agricultural,Y,0,0,
93923,12,2023,Elec- Agricultural,Y,0,0,
93924,10,2023,Elec- Agricultural,Y,61,"67,676","1,109"
93924,11,2023,Elec- Agricultural,Y,0,0,
93924,12,2023,Elec- Agricultural,Y,0,0,
93925,10,2023,Elec- Agricultural,Y,0,0,
93925,11,2023,Elec- Agricultural,Y,0,0,
93925,12,2023,Elec- Agricultural,Y,0,0,
93926,10,2023,Elec- Agricultural,Y,0,0,
93926,11,2023,Elec- Agricultural,Y,0,0,
93926,12,2023,Elec- Agricultural,Y,0,0,
93927,10,2023,Elec- Agricultural,Y,0,0,
93927,11,2023,Elec- Agricultural,Y,0,0,
93927,12,2023,Elec- Agricultural,Y,0,0,
93930,10,2023,Elec- Agricultural,Y,156,"2,787,710","17,870"
93930,11,2023,Elec- Agricultural,Y,462,"9,200,808","19,915"
93930,12,2023,Elec- Agricultural,Y,0,0,
93932,10,2023,Elec- Agricultural,Y,0,0,
93932,11,2023,Elec- Agricultural,Y,0,0,
93932,12,2023,Elec- Agricultural,Y,0,0,
93933,10,2023,Elec- Agricultural,Y,0,0,
93933,11,2023,Elec- Agricultural,Y,0,0,
93933,12,2023,Elec- Agricultural,Y,0,0,
93940,10,2023,Elec- Agricultural,Y,0,0,
93940,11,2023,Elec- Agricultural,Y,0,0,
93940,12,2023,Elec- Agricultural,Y,0,0,
93950,10,2023,Elec- Agricultural,Y,0,0,
93950,11,2023,Elec- Agricultural,Y,0,0,
93950,12,2023,Elec- Agricultural,Y,0,0,
93960,10,2023,Elec- Agricultural,Y,307,"12,026,219","39,173"
93960,11,2023,Elec- Agricultural,Y,0,0,
93960,12,2023,Elec- Agricultural,Y,0,0,
94010,10,2023,Elec- Agricultural,Y,0,0,
94010,11,2023,Elec- Agricultural,Y,0,0,
94010,12,2023,Elec- Agricultural,Y,0,0,
94014,10,2023,Elec- Agricultural,Y,0,0,
94014,11,2023,Elec- Agricultural,Y,0,0,
94014,12,2023,Elec- Agricultural,Y,0,0,
94015,10,2023,Elec- Agricultural,Y,0,0,
94015,11,2023,Elec- Agricultural,Y,0,0,
94015,12,2023,Elec- Agricultural,Y,0,0,
94019,10,2023,Elec- Agricultural,Y,290,"15,918,359","54,891"
94019,11,2023,Elec- Agricultural,Y,0,0,
94019,12,2023,Elec- Agricultural,Y,0,0,
94020,10,2023,Elec- Agricultural,Y,0,0,
